year,monthNumber,state,metricFOB,metricKG
2024,09,São Paulo,107193949,116540972
2024,05,São Paulo,101973227,103659492
2024,08,São Paulo,62335393,67146388
2024,10,São Paulo,29858282,36586082
2024,03,São Paulo,22553713,22705083
2024,01,São Paulo,22106538,21642853
2024,07,São Paulo,21325298,24998761
2024,09,Distrito Federal,9422785,8693724
2024,09,Rio de Janeiro,8132910,12673450
2024,10,Rio de Janeiro,7478769,13162402
2024,09,Ceará,7446345,7909361
2024,03,Rio de Janeiro,5604552,5430592
2024,05,Rio de Janeiro,4632429,4535974
2024,07,Rio de Janeiro,3810562,7023643
2024,08,Rio de Janeiro,3716196,5742818
2024,08,Distrito Federal,3550567,3520915
2024,06,São Paulo,2841249,4180643
2024,10,Distrito Federal,2540892,2218945
2024,09,Santa Catarina,2191371,2195388
2024,08,Minas Gerais,1607955,1690109
2024,04,São Paulo,1583928,2386088
2024,08,Paraná,1474775,1521545
2024,02,São Paulo,1235928,2013707
2024,03,Santa Catarina,1227120,1123907
2024,09,Amazonas,1193871,1146354
2024,09,Paraná,1175832,1217652
2024,08,Santa Catarina,1126105,1135624
2024,07,Paraná,1092715,1314798
2024,05,Rio Grande do Sul,1028984,991727
2024,10,Santa Catarina,910590,954729
2024,01,Rio de Janeiro,821266,737638
2024,03,Paraná,719240,683445
2024,09,Minas Gerais,706097,736574
2024,08,Amazonas,681632,644702
2024,10,Minas Gerais,679652,752110
2024,03,Rio Grande do Sul,653346,617604
2024,07,Rio Grande do Sul,549568,542251
2024,10,Paraná,527509,576113
2024,07,Santa Catarina,525620,550066
2024,05,Santa Catarina,488028,458874
2024,09,Bahia,475925,511739
2024,03,Ceará,455219,649621
2024,02,Rio de Janeiro,416798,562273
2024,09,Pernambuco,409516,453516
2024,05,Paraná,405499,383592
2024,09,Rio Grande do Norte,371433,386846
2024,06,Rio de Janeiro,359982,324448
2024,01,Santa Catarina,327982,295457
2024,09,Alagoas,266476,281637
2024,05,Amazonas,245033,226456
2024,08,Ceará,237901,247388
2024,09,Pará,233531,237802
2024,07,Amazonas,224948,204875
2024,03,Amazonas,222830,204280
2024,10,Ceará,219814,246993
2024,10,Amazonas,204551,192502
2024,07,Distrito Federal,182899,191889
2024,10,Alagoas,164037,169379
2024,04,Rio de Janeiro,156896,80248
2024,10,Pará,141633,137828
2024,10,Pernambuco,120448,149742
2024,08,Bahia,117685,101248
2024,01,Amazonas,110751,94871
2024,08,Pernambuco,107085,99171
2024,06,Amazonas,89546,87720
2024,01,Rio Grande do Sul,81169,71157
2024,06,Santa Catarina,80850,79521
2024,06,Minas Gerais,69958,72437
2024,09,Rio Grande do Sul,64100,65679
2024,06,Paraná,62026,57628
2024,01,Paraná,60343,50382
2024,08,Rio Grande do Sul,54605,59108
2024,08,Pará,50162,49311
2024,08,Alagoas,45517,39601
2024,04,Pará,43724,33005
2024,06,Rio Grande do Sul,43260,43479
2024,08,Espírito Santo,41487,42400
2024,10,Bahia,39998,43784
2024,07,Minas Gerais,36193,37961
2024,06,Distrito Federal,31470,26967
2024,02,Rio Grande do Sul,26818,8516
2024,08,Rio Grande do Norte,26630,26308
2024,05,Espírito Santo,24812,811
2024,01,Distrito Federal,16680,12143
2024,07,Roraima,15464,11479
2024,04,Amazonas,12786,9944
2024,10,Espírito Santo,12316,5377
2024,09,Espírito Santo,11591,6308
2024,05,Minas Gerais,10666,11332
2024,06,Espírito Santo,9889,3445
2024,07,Pernambuco,8573,7733
2024,04,Paraná,8463,7296
2024,10,Rio Grande do Sul,8453,8700
2024,07,Ceará,7966,8312
2024,08,Roraima,7832,5210
2024,02,Distrito Federal,6611,5569
2024,04,Rio Grande do Sul,6209,5392
2024,01,Pará,5920,4779
2024,10,Mato Grosso do Sul,5847,6067
2024,04,Pernambuco,5777,5182
2024,05,Distrito Federal,5278,5126
2024,06,Rio Grande do Norte,4981,3704
2024,07,Pará,3963,3411
2024,02,Santa Catarina,3719,2623
2024,02,Pará,3682,2371
2024,02,Amazonas,3602,2408
2024,07,Espírito Santo,3428,373
2024,02,Rio Grande do Norte,3320,2455
2024,02,Roraima,3174,2022
2024,03,Amapá,2672,1811
2024,04,Santa Catarina,2551,1848
2024,09,Mato Grosso do Sul,2016,2411
2024,06,Bahia,1828,43
2024,04,Distrito Federal,1181,1065
2023,12,São Paulo,79970132,70306372
2023,10,São Paulo,76293020,71497528
2023,07,São Paulo,49411244,50907581
2023,02,São Paulo,47804712,38280266
2023,06,São Paulo,31875800,27559707
2023,01,São Paulo,21971101,17109495
2023,03,São Paulo,18271373,14353143
2023,05,São Paulo,12579620,11241212
2023,12,Distrito Federal,8779493,5613118
2023,04,São Paulo,7781373,6502942
2023,12,Rio de Janeiro,5242614,3576168
2023,02,Distrito Federal,3788875,2333575
2023,02,Rio de Janeiro,3472328,2598731
2023,10,Distrito Federal,1797981,1214991
2023,10,Rio de Janeiro,1622689,1555340
2023,03,Rio de Janeiro,1394213,1214497
2023,07,Rio de Janeiro,1389433,1431644
2023,06,Rio de Janeiro,1294102,1091856
2023,03,Distrito Federal,1000756,648132
2023,02,Santa Catarina,925231,715394
2023,12,Santa Catarina,755808,573988
2023,12,Amazonas,743406,651946
2023,12,Ceará,632364,537358
2023,11,São Paulo,558689,796588
2023,12,Pará,528781,436382
2023,07,Distrito Federal,477300,470296
2023,07,Amazonas,456847,418029
2023,02,Amazonas,408400,310286
2023,10,Rio Grande do Sul,394708,373170
2023,07,Rio Grande do Sul,370422,362817
2023,02,Rio Grande do Sul,348173,276255
2023,02,Paraná,347399,274490
2023,12,Rio Grande do Norte,291966,252492
2023,04,Rio de Janeiro,282715,232897
2023,12,Pernambuco,276006,252046
2023,06,Rio Grande do Sul,262444,215238
2023,06,Amazonas,248272,193648
2023,03,Amazonas,233849,178208
2023,10,Amazonas,226139,181615
2023,06,Distrito Federal,201933,160089
2023,12,Bahia,201495,169916
2023,07,Paraná,199313,209024
2023,10,Paraná,183662,169256
2023,08,São Paulo,180157,160370
2023,05,Minas Gerais,170308,115333
2023,12,Minas Gerais,162514,141574
2023,05,Rio de Janeiro,161337,136763
2023,10,Santa Catarina,160524,113993
2023,05,Amazonas,150152,119688
2023,12,Paraná,145108,132137
2023,05,Paraná,137048,120239
2023,06,Paraná,131406,109509
2023,01,Rio de Janeiro,130824,93972
2023,01,Rio Grande do Sul,119734,89468
2023,03,Santa Catarina,115079,90879
2023,03,Pará,109321,86477
2023,12,Alagoas,101003,86766
2023,03,Paraná,99386,78849
2023,02,Ceará,92006,72211
2023,03,Ceará,89861,75941
2023,01,Pará,87726,68047
2023,02,Pará,79674,62448
2023,01,Amazonas,79640,56584
2023,03,Minas Gerais,75196,60669
2023,02,Minas Gerais,73139,55788
2023,07,Pernambuco,71151,56814
2023,03,Bahia,57270,46180
2023,01,Pernambuco,55714,44279
2023,06,Minas Gerais,53180,42919
2023,04,Rio Grande do Sul,50974,41609
2023,09,Minas Gerais,48315,42172
2023,03,Alagoas,45224,28353
2023,02,Rio Grande do Norte,44697,34926
2023,03,Rio Grande do Norte,44038,35981
2023,07,Santa Catarina,42527,41713
2023,03,Pernambuco,41698,35087
2023,10,Minas Gerais,39879,32186
2023,06,Santa Catarina,38952,29581
2023,05,Distrito Federal,36182,24147
2023,11,Rio de Janeiro,33922,25736
2023,08,Distrito Federal,32607,30160
2023,01,Paraná,25833,16802
2023,07,Minas Gerais,24594,23124
2023,02,Pernambuco,23683,20026
2023,02,Bahia,22891,20111
2023,05,Ceará,21868,14479
2023,04,Amazonas,19703,12593
2023,04,Santa Catarina,19247,15521
2023,10,Ceará,18908,14010
2023,05,Pernambuco,18774,15375
2023,10,Bahia,18464,13884
2023,06,Bahia,17740,15543
2023,06,Pará,16919,12090
2023,08,Rio de Janeiro,16222,13885
2023,07,Pará,16188,15487
2023,04,Distrito Federal,16139,12334
2023,06,Roraima,15878,10078
2023,06,Mato Grosso do Sul,15750,12351
2023,10,Rio Grande do Norte,14979,13248
2023,03,Roraima,14929,8622
2023,09,São Paulo,14726,10029
2023,04,Paraná,14194,11745
2023,08,Amazonas,14130,9173
2023,05,Rio Grande do Sul,12468,10733
2023,12,Roraima,11432,6743
2023,08,Maranhão,10537,3043
2023,12,Rio Grande do Sul,9576,8035
2023,07,Roraima,9100,5546
2023,11,Pernambuco,8609,6586
2023,11,Paraná,7949,5508
2023,05,Pará,7326,4241
2023,06,Rio Grande do Norte,6869,4765
2023,11,Ceará,6587,4781
2023,03,Rio Grande do Sul,6495,5061
2023,10,Pernambuco,6456,5360
2023,08,Minas Gerais,5567,5400
2023,04,Pernambuco,5262,3423
2023,01,Santa Catarina,5202,3310
2023,11,Roraima,4886,2541
2023,09,Pará,4786,4833
2023,09,Amazonas,4568,3709
2023,01,Alagoas,3819,3807
2023,05,Roraima,2943,1866
2023,11,Amazonas,2741,2485
2023,08,Pará,2167,1710
2023,08,Rio Grande do Sul,1865,1347
2023,11,Rio Grande do Sul,1700,1318
2023,09,Rio de Janeiro,1606,1651
2023,08,Santa Catarina,1397,896
2023,08,Roraima,689,479
2022,12,São Paulo,81362244,60774536
2022,11,São Paulo,35925730,26937699
2022,10,São Paulo,18077908,13753244
2022,12,Rio de Janeiro,1491650,1110776
2022,10,Rio de Janeiro,1338627,1101409
2022,12,Rio Grande do Sul,1069012,796363
2022,08,São Paulo,1013978,1010693
2022,12,Amazonas,688457,522784
2022,11,Rio de Janeiro,518046,378555
2022,01,São Paulo,398557,651138
2022,11,Rio Grande do Sul,348239,252251
2022,10,Amazonas,318414,243200
2022,12,Paraná,308444,228116
2022,10,Paraná,243013,184583
2022,12,Pernambuco,117589,91030
2022,12,Santa Catarina,93895,67475
2022,12,Minas Gerais,93585,69418
2022,12,Pará,87528,66958
2022,04,Paraná,60891,58055
2022,12,Bahia,54648,43454
2022,10,Minas Gerais,50038,38862
2022,10,Santa Catarina,44285,33568
2022,02,Paraná,42538,38741
2022,03,Paraná,38316,24866
2022,01,Paraná,28985,30300
2022,03,Alagoas,27708,8446
2022,12,Ceará,21654,17379
2022,09,Amazonas,18326,13188
2022,11,Pará,18069,13825
