noMunMinsgUf,year,monthNumber,state,metricFOB,metricKG
Vitória - ES,2024,04,Espírito Santo,34647168,21001
Aracruz - ES,2024,10,Espírito Santo,27527721,401318
São José dos Campos - SP,2024,06,São Paulo,25555246,23153
Vitória - ES,2024,09,Espírito Santo,19295504,13643
Caucaia - CE,2024,09,Ceará,17829874,10447
São José dos Campos - SP,2024,07,São Paulo,11276735,37938
São José dos Campos - SP,2024,09,São Paulo,10557080,17145
Vitória - ES,2024,03,Espírito Santo,9518927,11491
Vitória - ES,2024,01,Espírito Santo,9160960,13587
São José dos Campos - SP,2024,04,São Paulo,8957546,13063
São José dos Campos - SP,2024,10,São Paulo,8870022,13752
Taubaté - SP,2024,07,São Paulo,8512537,357169
São José dos Campos - SP,2024,05,São Paulo,8275028,9470
São José dos Campos - SP,2024,08,São Paulo,8260556,11970
Itajaí - SC,2024,04,Santa Catarina,7803947,163478
Taubaté - SP,2024,09,São Paulo,7718526,336495
São José dos Campos - SP,2024,01,São Paulo,7457441,11079
Taubaté - SP,2024,03,São Paulo,7326534,294362
São José do Norte - RS,2024,07,Rio Grande do Sul,7285512,82982
Taubaté - SP,2024,08,São Paulo,7275491,359511
Taubaté - SP,2024,04,São Paulo,7045408,269473
Taubaté - SP,2024,01,São Paulo,5431734,244972
Taubaté - SP,2024,06,São Paulo,5388607,323415
São José dos Campos - SP,2024,02,São Paulo,5093149,81165
Taubaté - SP,2024,05,São Paulo,5061765,347939
São José dos Campos - SP,2024,03,São Paulo,5053253,7333
Ipojuca - PE,2024,08,Pernambuco,4660540,8000000
Gavião Peixoto - SP,2024,08,São Paulo,4647469,2900
Gavião Peixoto - SP,2024,09,São Paulo,4149835,8269
Taubaté - SP,2024,10,São Paulo,4007115,333300
Taubaté - SP,2024,02,São Paulo,3973648,313263
Botucatu - SP,2024,03,São Paulo,3788075,93903
Gavião Peixoto - SP,2024,02,São Paulo,3542687,1783
Botucatu - SP,2024,08,São Paulo,3375712,64480
Gavião Peixoto - SP,2024,04,São Paulo,3222794,2040
Botucatu - SP,2024,09,São Paulo,2893154,73200
Gavião Peixoto - SP,2024,07,São Paulo,2790276,1684
Gavião Peixoto - SP,2024,03,São Paulo,2699834,1662
Gavião Peixoto - SP,2024,10,São Paulo,2697697,4430
Gavião Peixoto - SP,2024,05,São Paulo,2664233,1343
Botucatu - SP,2024,10,São Paulo,2562915,96630
Gavião Peixoto - SP,2024,06,São Paulo,2538936,1545
Botucatu - SP,2024,07,São Paulo,2475274,83792
Botucatu - SP,2024,05,São Paulo,2413628,75442
Vitória - ES,2024,07,Espírito Santo,2399430,3160
Botucatu - SP,2024,01,São Paulo,2385003,58800
Betim - MG,2024,02,Minas Gerais,2176304,70729
Gavião Peixoto - SP,2024,01,São Paulo,2013569,1538
Botucatu - SP,2024,04,São Paulo,1991944,95366
Botucatu - SP,2024,06,São Paulo,1963851,53263
Santos - SP,2024,06,São Paulo,1531892,1270844
Santos - SP,2024,10,São Paulo,1459535,1018164
Aracruz - ES,2024,08,Espírito Santo,1427336,31640
Aracruz - ES,2024,05,Espírito Santo,1361790,19592
São José do Norte - RS,2024,06,Rio Grande do Sul,1197031,270996
Ipojuca - PE,2024,09,Pernambuco,1182685,2000000
Ipojuca - PE,2024,10,Pernambuco,1164125,2000000
Poços de Caldas - MG,2024,09,Minas Gerais,1148410,422741
Carazinho - RS,2024,02,Rio Grande do Sul,1081037,540518
São Paulo - SP,2024,04,São Paulo,1022228,394917
Campinas - SP,2024,01,São Paulo,984862,27790
São José do Norte - RS,2024,05,Rio Grande do Sul,983183,225559
Piracicaba - SP,2024,07,São Paulo,946490,35023
Rio Grande - RS,2024,09,Rio Grande do Sul,937800,24612
Itajaí - SC,2024,07,Santa Catarina,888024,35528
São Paulo - SP,2024,10,São Paulo,804875,19672
São José do Norte - RS,2024,04,Rio Grande do Sul,797989,193474
Navegantes - SC,2024,02,Santa Catarina,794457,233424
Guarulhos - SP,2024,01,São Paulo,790613,57531
São Paulo - SP,2024,02,São Paulo,784315,42238
Pequi - MG,2024,07,Minas Gerais,746212,259987
Betim - MG,2024,05,Minas Gerais,742290,52636
São Paulo - SP,2024,09,São Paulo,700613,11778
Embu - SP,2024,08,São Paulo,667933,64439
Pequi - MG,2024,06,Minas Gerais,659578,229803
Aracruz - ES,2024,06,Espírito Santo,625234,12702
Botucatu - SP,2024,02,São Paulo,623248,91530
Guarulhos - SP,2024,04,São Paulo,623046,28460
Guarulhos - SP,2024,08,São Paulo,602583,189577
Santos - SP,2024,09,São Paulo,594046,454908
Duque de Caxias - RJ,2024,07,Rio de Janeiro,590746,8041
Campinas - SP,2024,02,São Paulo,572853,25956
Poços de Caldas - MG,2024,10,Minas Gerais,570776,197511
Itajaí - SC,2024,05,Santa Catarina,569682,256791
Aracruz - ES,2024,02,Espírito Santo,568860,12175
São Paulo - SP,2024,06,São Paulo,540154,32557
Araxá - MG,2024,02,Minas Gerais,501852,3392
São José do Norte - RS,2024,02,Rio Grande do Sul,501306,7286
Campinas - SP,2024,10,São Paulo,490077,16294
Navegantes - SC,2024,03,Santa Catarina,437282,137716
Itajaí - SC,2024,03,Santa Catarina,428964,106524
Goiana - PE,2024,10,Pernambuco,428852,16962
Duque de Caxias - RJ,2024,10,Rio de Janeiro,427392,2427
Jundiaí - SP,2024,08,São Paulo,423580,96510
Campinas - SP,2024,07,São Paulo,419113,8735
Guarulhos - SP,2024,10,São Paulo,405416,89365
Curitiba - PR,2024,10,Paraná,402152,30261
São Paulo - SP,2024,07,São Paulo,401337,18424
Jacareí - SP,2024,10,São Paulo,367018,195590
Campinas - SP,2024,09,São Paulo,351607,8042
Curitiba - PR,2024,03,Paraná,347875,10673
Guarulhos - SP,2024,09,São Paulo,346684,27318
Guarulhos - SP,2024,03,São Paulo,337430,9232
Paulínia - SP,2024,06,São Paulo,334918,517
Santa Cruz do Sul - RS,2024,10,Rio Grande do Sul,325630,46320
Rio de Janeiro - RJ,2024,06,Rio de Janeiro,324982,56485
São José do Norte - RS,2024,08,Rio Grande do Sul,324858,3802
Montenegro - RS,2024,08,Rio Grande do Sul,305718,79
Rio Grande - RS,2024,10,Rio Grande do Sul,279564,28384
Rio de Janeiro - RJ,2024,03,Rio de Janeiro,277794,48018
São Paulo - SP,2024,03,São Paulo,272746,123530
Rio de Janeiro - RJ,2024,04,Rio de Janeiro,272716,32412
Navegantes - SC,2024,09,Santa Catarina,264777,65279
Montenegro - RS,2024,03,Rio Grande do Sul,257653,1614
Santos - SP,2024,07,São Paulo,247493,250802
Rio Claro - SP,2024,10,São Paulo,243851,330
Rio de Janeiro - RJ,2024,07,Rio de Janeiro,241768,41083
Guarulhos - SP,2024,02,São Paulo,235663,7358
Rio Claro - SP,2024,04,São Paulo,231797,257
Rio Claro - SP,2024,05,São Paulo,225385,284
Santo André - SP,2024,07,São Paulo,221825,26634
São José do Rio Preto - SP,2024,02,São Paulo,221312,9820
Betim - MG,2024,10,Minas Gerais,220514,19502
São Gonçalo - RJ,2024,01,Rio de Janeiro,218539,2424
Santa Cruz do Sul - RS,2024,09,Rio Grande do Sul,217075,235620
