coNcm,year,monthNumber,state,ncm,metricFOB,metricFreight,metricInsurance,metricCIF,metricKG,metricStatistic
88023039,2024,04,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, 7000 kg < peso <= 15000 kg, vazios",34646723,0,773,34647496,20963,2
88073000,2024,09,São Paulo,Outras partes de aviões ou de helicópteros,21606881,70052,13111,21690044,26389,26389
88073000,2024,08,São Paulo,Outras partes de aviões ou de helicópteros,20107489,68554,12168,20188211,22521,22521
88073000,2024,04,São Paulo,Outras partes de aviões ou de helicópteros,18592906,2935,11934,18607775,21868,21868
88073000,2024,07,São Paulo,Outras partes de aviões ou de helicópteros,18482523,4969,11114,18498606,20435,20435
88023039,2024,06,São Paulo,"Aviões e outros veículos aéreos, a turbojato, 7000 kg < peso <= 15000 kg, vazios",18030961,0,11576,18042537,11265,1
88023039,2024,09,Ceará,"Aviões e outros veículos aéreos, a turbojato, 7000 kg < peso <= 15000 kg, vazios",17829874,0,359,17830233,10447,1
88073000,2024,03,São Paulo,Outras partes de aviões ou de helicópteros,17628481,19510,11373,17659364,18397,18397
88023039,2024,09,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, 7000 kg < peso <= 15000 kg, vazios",17494942,0,386,17495328,10472,1
88073000,2024,01,São Paulo,Outras partes de aviões ou de helicópteros,15936936,1793,10228,15948957,18943,18943
84195021,2024,10,Espírito Santo,"Trocadores de calor, tubulares, metálicos",15650592,0,0,15650592,154579,6
88073000,2024,10,São Paulo,Outras partes de aviões ou de helicópteros,15040256,58321,9109,15107686,20744,20744
88073000,2024,05,São Paulo,Outras partes de aviões ou de helicópteros,14838495,44025,9553,14892073,16556,16556
88073000,2024,06,São Paulo,Outras partes de aviões ou de helicópteros,14786765,6663,9105,14802533,17439,17439
88073000,2024,02,São Paulo,Outras partes de aviões ou de helicópteros,10873694,40224,7002,10920920,10700,10700
88023031,2024,03,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, de peso inferior ou igual a 7.000 kg, vazios",9518927,0,1317,9520244,11491,3
88023039,2024,01,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, 7000 kg < peso <= 15000 kg, vazios",9160960,0,1131,9162091,13587,1
88023031,2024,04,Santa Catarina,"Aviões e outros veículos aéreos, a turbojato, de peso inferior ou igual a 7.000 kg, vazios",7044890,0,553,7045443,5218,1
84137090,2024,10,Espírito Santo,Outras bombas centrífugas,7008519,19001,28799,7056319,82744,10
84049090,2024,07,Rio Grande do Sul,Partes de aparelhos auxilliares para caldeiras aquecimento central,6949649,0,0,6949649,82396,82396
88024090,2024,07,São Paulo,"Outros aviões e outros veículos aéreos, de peso superior a 15.000 kg, vazios",5089597,0,0,5089597,27764,1
90261019,2024,10,Espírito Santo,Outros instrumentos e aparelhos para medida/controle de vazão,4861660,0,0,4861660,163142,2
27101922,2024,08,Pernambuco,Fuel oil,4660540,111900,0,4772440,8000000,8590
88023031,2024,07,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, de peso inferior ou igual a 7.000 kg, vazios",2399430,0,708,2400138,3160,1
88023031,2024,09,Espírito Santo,"Aviões e outros veículos aéreos, a turbojato, de peso inferior ou igual a 7.000 kg, vazios",1800000,0,196,1800196,3150,1
90312010,2024,02,Minas Gerais,Bancos de ensaio para motores,1625909,16442,249,1642600,5336,2
94011090,2024,04,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",1574657,19354,1031,1595042,669,13
84137090,2024,08,Espírito Santo,Outras bombas centrífugas,1427336,0,0,1427336,31640,4
84195021,2024,05,Espírito Santo,"Trocadores de calor, tubulares, metálicos",1361790,0,0,1361790,19592,5
94011090,2024,05,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",1318340,16131,863,1335334,484,6
76011000,2024,09,Minas Gerais,"Alumínio não ligado, em formas brutas",1279572,0,725,1280297,472436,473
73089090,2024,06,Rio Grande do Sul,"Outras construções e suas partes, de ferro fundido/ferro/aço",1197031,0,0,1197031,270996,270996
27101922,2024,09,Pernambuco,Fuel oil,1182685,27975,0,1210660,2000000,2148
27101922,2024,10,Pernambuco,Fuel oil,1164125,27975,0,1192100,2000000,2148
94037000,2024,09,São Paulo,Móveis de plásticos,1085001,93025,710,1178736,3632,23
38089329,2024,02,Rio Grande do Sul,Outros herbicidas apresentados de outro modo,1081037,66700,0,1147737,540518,540518
94037000,2024,08,São Paulo,Móveis de plásticos,1057481,48403,666,1106550,893,21
94011090,2024,02,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",1022933,14640,666,1038239,323,4
76011000,2024,04,São Paulo,"Alumínio não ligado, em formas brutas",990366,0,0,990366,393995,394
94011090,2024,06,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",964516,24290,605,989411,714,19
94011090,2024,09,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",950957,16001,584,967542,1000,5
27079990,2024,10,São Paulo,Outros óleos e produtos da destilação do alcatrão de hulha,939086,43745,0,982831,507040,507040
73089010,2024,05,Rio Grande do Sul,"Chapas, barras, perfis, tubos e semelhantes, próprios para construções, de ferro fundido, ferro ou aço",926641,0,0,926641,224765,224765
85015310,2024,07,São Paulo,"Motor elétrico de corrente alternada, trifásico, de potência inferior ou igual a 7.500 kW",880100,0,0,880100,33640,2
84253910,2024,09,Rio Grande do Sul,"Outros guinchos e cabrestantes, com capacidade inferior ou igual a 100 toneladas",875300,0,0,875300,21340,4
27101994,2024,06,São Paulo,"Mistura de hidrocarbonetos acíclicos e cíclicos, saturados, derivados de frações de petróleo, contendo, em peso, < 2 %, de hidrocarbonetos aromáticos, que destila, segundo o método ASTM D 86, uma fração < 90 %, em volume, a 210 °C, ponto final < 360 °C",861858,61274,0,923132,767314,767314
73089010,2024,04,Rio Grande do Sul,"Chapas, barras, perfis, tubos e semelhantes, próprios para construções, de ferro fundido, ferro ou aço",794536,0,0,794536,193442,193442
49019900,2024,08,São Paulo,"Outros livros, brochuras e impressos semelhantes",767700,51,0,767751,68613,68613
76020000,2024,08,São Paulo,"Desperdícios e resíduos, de alumínio",764197,0,0,764197,409010,409010
85437099,2024,08,São Paulo,Outras máquinas e aparelhos elétricos com função própria,761417,1455,468,763340,34,10
76011000,2024,07,Minas Gerais,"Alumínio não ligado, em formas brutas",746212,0,0,746212,259987,260
76020000,2024,10,São Paulo,"Desperdícios e resíduos, de alumínio",732499,0,0,732499,416694,416694
76020000,2024,07,São Paulo,"Desperdícios e resíduos, de alumínio",708965,0,0,708965,430359,430359
85437099,2024,05,São Paulo,Outras máquinas e aparelhos elétricos com função própria,697408,103,448,697959,29,6
76020000,2024,09,São Paulo,"Desperdícios e resíduos, de alumínio",693279,0,0,693279,395369,395369
49019900,2024,02,São Paulo,"Outros livros, brochuras e impressos semelhantes",668702,22,0,668724,42569,42569
76020000,2024,06,São Paulo,"Desperdícios e resíduos, de alumínio",666543,0,0,666543,367781,367781
76011000,2024,06,Minas Gerais,"Alumínio não ligado, em formas brutas",659578,0,0,659578,229803,230
76020000,2024,05,São Paulo,"Desperdícios e resíduos, de alumínio",657582,0,0,657582,412639,412639
84137090,2024,06,Espírito Santo,Outras bombas centrífugas,625234,0,0,625234,12702,2
85021110,2024,02,Santa Catarina,"Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ou semidiesel), de potência não superior a 75 kVA, de corrente alternada",614083,24702,307,639092,188786,241
76020000,2024,02,São Paulo,"Desperdícios e resíduos, de alumínio",600434,0,0,600434,400573,400573
27101994,2024,09,São Paulo,"Mistura de hidrocarbonetos acíclicos e cíclicos, saturados, derivados de frações de petróleo, contendo, em peso, < 2 %, de hidrocarbonetos aromáticos, que destila, segundo o método ASTM D 86, uma fração < 90 %, em volume, a 210 °C, ponto final < 360 °C",594046,37912,0,631958,454908,454908
76020000,2024,03,São Paulo,"Desperdícios e resíduos, de alumínio",593883,0,0,593883,377249,377249
94011090,2024,01,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",590831,20051,392,611274,477,12
94011090,2024,10,São Paulo,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis",589237,25893,371,615501,400,13
84196000,2024,07,Rio de Janeiro,Aparelhos e dispositivos para liquefação do ar ou de outros gases,573296,0,0,573296,7986,1
76011000,2024,10,Minas Gerais,"Alumínio não ligado, em formas brutas",570776,0,360,571136,197511,198
84137090,2024,02,Espírito Santo,Outras bombas centrífugas,568860,0,0,568860,12175,4
76020000,2024,04,São Paulo,"Desperdícios e resíduos, de alumínio",551506,0,0,551506,351378,351378
