Categoria,Ano,Mês,Localidade,Valor Índice
Categoria Desconhecida,2019,01,Brasil,98.33759
Categoria Desconhecida,2019,02,Brasil,90.74466
Categoria Desconhecida,2019,03,Brasil,91.47444
Categoria Desconhecida,2019,04,Brasil,93.34245
Categoria Desconhecida,2019,05,Brasil,101.14052
Categoria Desconhecida,2019,06,Brasil,87.26446
Categoria Desconhecida,2019,07,Brasil,103.34373
Categoria Desconhecida,2019,08,Brasil,102.95085
Categoria Desconhecida,2019,09,Brasil,97.71721
Categoria Desconhecida,2019,10,Brasil,104.13802
Categoria Desconhecida,2019,11,Brasil,95.73409
Categoria Desconhecida,2019,12,Brasil,91.69341
Categoria Desconhecida,2020,01,Brasil,95.48571
Categoria Desconhecida,2020,02,Brasil,89.98824
Categoria Desconhecida,2020,03,Brasil,94.62301
Categoria Desconhecida,2020,04,Brasil,87.82511
Categoria Desconhecida,2020,05,Brasil,92.32728
Categoria Desconhecida,2020,06,Brasil,94.13591
Categoria Desconhecida,2020,07,Brasil,100.35659
Categoria Desconhecida,2020,08,Brasil,96.56782
Categoria Desconhecida,2020,09,Brasil,99.37024
Categoria Desconhecida,2020,10,Brasil,103.98375
Categoria Desconhecida,2020,11,Brasil,94.75932
Categoria Desconhecida,2020,12,Brasil,98.09679
Categoria Desconhecida,2021,01,Brasil,91.49543
Categoria Desconhecida,2021,02,Brasil,90.39672
Categoria Desconhecida,2021,03,Brasil,98.29677
Categoria Desconhecida,2021,04,Brasil,91.20708
Categoria Desconhecida,2021,05,Brasil,94.70023
Categoria Desconhecida,2021,06,Brasil,95.32578
Categoria Desconhecida,2021,07,Brasil,99.80662
Categoria Desconhecida,2021,08,Brasil,101.305
Categoria Desconhecida,2021,09,Brasil,87.28428
Categoria Desconhecida,2021,10,Brasil,94.39254
Categoria Desconhecida,2021,11,Brasil,96.85738
Categoria Desconhecida,2021,12,Brasil,101.17406
Categoria Desconhecida,2022,01,Brasil,96.20507
Categoria Desconhecida,2022,02,Brasil,93.49301
Categoria Desconhecida,2022,03,Brasil,101.12219
Categoria Desconhecida,2022,04,Brasil,91.07032
Categoria Desconhecida,2022,05,Brasil,103.16997
Categoria Desconhecida,2022,06,Brasil,101.38622
Categoria Desconhecida,2022,07,Brasil,104.23575
Categoria Desconhecida,2022,08,Brasil,107.26844
Categoria Desconhecida,2022,09,Brasil,101.74506
Categoria Desconhecida,2022,10,Brasil,99.62492
Categoria Desconhecida,2022,11,Brasil,97.60484
Categoria Desconhecida,2022,12,Brasil,103.0742
Categoria Desconhecida,2023,01,Brasil,102.11576
Categoria Desconhecida,2023,02,Brasil,92.36854
