Categoria,Ano,Mês,Localidade,Valor Índice
,2020,10,Brasil,
,2020,11,Brasil,
,2020,12,Brasil,
,2021,01,Brasil,
,2021,02,Brasil,
,2021,03,Brasil,
,2021,04,Brasil,
,2021,05,Brasil,
,2021,06,Brasil,
,2021,07,Brasil,
,2021,08,Brasil,
,2021,09,Brasil,
,2021,10,Brasil,
,2021,11,Brasil,
,2021,12,Brasil,
,2022,01,Brasil,123.06709
,2022,02,Brasil,75.97507
,2022,03,Brasil,86.23178
,2022,04,Brasil,91.46809
,2022,05,Brasil,84.29347
,2022,06,Brasil,80.53443
,2022,07,Brasil,116.15845
,2022,08,Brasil,94.99625
,2022,09,Brasil,99.79748
,2022,10,Brasil,108.13874
,2022,11,Brasil,109.23773
,2022,12,Brasil,130.10142
,2023,01,Brasil,166.55821
,2023,02,Brasil,121.85737
,2023,03,Brasil,111.6041
,2023,04,Brasil,106.89894
,2023,05,Brasil,96.97708
,2023,06,Brasil,94.51831
,2023,07,Brasil,133.80933
,2023,08,Brasil,109.35164
,2023,09,Brasil,118.44622
,2023,10,Brasil,127.60287
,2023,11,Brasil,130.34788
,2023,12,Brasil,157.52534
,2024,01,Brasil,177.48891
,2024,02,Brasil,131.50658
,2024,03,Brasil,135.84046
,2024,04,Brasil,114.66609
,2024,05,Brasil,109.74654
,2024,06,Brasil,107.46634
,2024,07,Brasil,142.06572
,2024,08,Brasil,121.41449
,2024,09,Brasil,128.10895
 Alojamento,2020,10,Brasil,
 Alojamento,2020,11,Brasil,
 Alojamento,2020,12,Brasil,
 Alojamento,2021,01,Brasil,
 Alojamento,2021,02,Brasil,
 Alojamento,2021,03,Brasil,
 Alojamento,2021,04,Brasil,
 Alojamento,2021,05,Brasil,
 Alojamento,2021,06,Brasil,
 Alojamento,2021,07,Brasil,
 Alojamento,2021,08,Brasil,
 Alojamento,2021,09,Brasil,
 Alojamento,2021,10,Brasil,
 Alojamento,2021,11,Brasil,
 Alojamento,2021,12,Brasil,
 Alojamento,2022,01,Brasil,123.06709
 Alojamento,2022,02,Brasil,75.97507
 Alojamento,2022,03,Brasil,86.23178
 Alojamento,2022,04,Brasil,91.46809
 Alojamento,2022,05,Brasil,84.29347
 Alojamento,2022,06,Brasil,80.53443
 Alojamento,2022,07,Brasil,116.15845
 Alojamento,2022,08,Brasil,94.99625
 Alojamento,2022,09,Brasil,99.79748
 Alojamento,2022,10,Brasil,108.13874
 Alojamento,2022,11,Brasil,109.23773
 Alojamento,2022,12,Brasil,130.10142
 Alojamento,2023,01,Brasil,166.55821
 Alojamento,2023,02,Brasil,121.85737
 Alojamento,2023,03,Brasil,111.6041
 Alojamento,2023,04,Brasil,106.89894
 Alojamento,2023,05,Brasil,96.97708
 Alojamento,2023,06,Brasil,94.51831
 Alojamento,2023,07,Brasil,133.80933
 Alojamento,2023,08,Brasil,109.35164
 Alojamento,2023,09,Brasil,118.44622
 Alojamento,2023,10,Brasil,127.60287
 Alojamento,2023,11,Brasil,130.34788
 Alojamento,2023,12,Brasil,157.52534
 Alojamento,2024,01,Brasil,177.48891
 Alojamento,2024,02,Brasil,131.50658
 Alojamento,2024,03,Brasil,135.84046
 Alojamento,2024,04,Brasil,114.66609
 Alojamento,2024,05,Brasil,109.74654
 Alojamento,2024,06,Brasil,107.46634
 Alojamento,2024,07,Brasil,142.06572
 Alojamento,2024,08,Brasil,121.41449
 Alojamento,2024,09,Brasil,128.10895
 Alojamento,2020,10,Brasil,
 Alojamento,2020,11,Brasil,
 Alojamento,2020,12,Brasil,
 Alojamento,2021,01,Brasil,
 Alojamento,2021,02,Brasil,
 Alojamento,2021,03,Brasil,
 Alojamento,2021,04,Brasil,
 Alojamento,2021,05,Brasil,
 Alojamento,2021,06,Brasil,
 Alojamento,2021,07,Brasil,
 Alojamento,2021,08,Brasil,
 Alojamento,2021,09,Brasil,
 Alojamento,2021,10,Brasil,
 Alojamento,2021,11,Brasil,
 Alojamento,2021,12,Brasil,
 Alojamento,2022,01,Brasil,86.77323
 Alojamento,2022,02,Brasil,79.38712
 Alojamento,2022,03,Brasil,90.05694
 Alojamento,2022,04,Brasil,94.45502
 Alojamento,2022,05,Brasil,99.99995
 Alojamento,2022,06,Brasil,98.78056
 Alojamento,2022,07,Brasil,107.9795
 Alojamento,2022,08,Brasil,102.05691
 Alojamento,2022,09,Brasil,104.0935
 Alojamento,2022,10,Brasil,110.15692
 Alojamento,2022,11,Brasil,104.84647
 Alojamento,2022,12,Brasil,121.41389
 Alojamento,2023,01,Brasil,103.09516
 Alojamento,2023,02,Brasil,93.51748
 Alojamento,2023,03,Brasil,103.45661
 Alojamento,2023,04,Brasil,106.36273
 Alojamento,2023,05,Brasil,109.88829
 Alojamento,2023,06,Brasil,110.17399
 Alojamento,2023,07,Brasil,120.34143
 Alojamento,2023,08,Brasil,107.80234
 Alojamento,2023,09,Brasil,109.05695
 Alojamento,2023,10,Brasil,115.081
 Alojamento,2023,11,Brasil,118.09652
 Alojamento,2023,12,Brasil,138.08545
 Alojamento,2024,01,Brasil,115.47569
 Alojamento,2024,02,Brasil,104.94937
 Alojamento,2024,03,Brasil,116.525
 Alojamento,2024,04,Brasil,111.12577
 Alojamento,2024,05,Brasil,120.95342
 Alojamento,2024,06,Brasil,120.7938
 Alojamento,2024,07,Brasil,129.19688
 Alojamento,2024,08,Brasil,123.23674
 Alojamento,2024,09,Brasil,120.34497
 Alimentação,2020,10,Brasil,
 Alimentação,2020,11,Brasil,
 Alimentação,2020,12,Brasil,
 Alimentação,2021,01,Brasil,
 Alimentação,2021,02,Brasil,
 Alimentação,2021,03,Brasil,
 Alimentação,2021,04,Brasil,
 Alimentação,2021,05,Brasil,
 Alimentação,2021,06,Brasil,
 Alimentação,2021,07,Brasil,
 Alimentação,2021,08,Brasil,
 Alimentação,2021,09,Brasil,
 Alimentação,2021,10,Brasil,
 Alimentação,2021,11,Brasil,
 Alimentação,2021,12,Brasil,
 Alimentação,2022,01,Brasil,86.77323
 Alimentação,2022,02,Brasil,79.38712
 Alimentação,2022,03,Brasil,90.05694
 Alimentação,2022,04,Brasil,94.45502
 Alimentação,2022,05,Brasil,99.99995
 Alimentação,2022,06,Brasil,98.78056
 Alimentação,2022,07,Brasil,107.9795
 Alimentação,2022,08,Brasil,102.05691
 Alimentação,2022,09,Brasil,104.0935
 Alimentação,2022,10,Brasil,110.15692
